game_date,season,match_up,away_team,home_team,away_min_p,away_max_p,away_weighted_avg_price,away_last_traded_price,home_min_p,home_max_p,home_weighted_avg_price,home_last_traded_price,home_line
2018-10-16,2018-19,Philadelphia 76ers @ Boston Celtics,Philadelphia 76ers,Boston Celtics,2.5,560,3.28,3,1.01,1.67,1.31,1.51,-5
2018-10-16,2018-19,Oklahoma City Thunder @ Golden State Warriors,Oklahoma City Thunder,Golden State Warriors,3.2,1000,10.23,10,1.01,1.47,1.11,1.1,-13
2018-10-17,2018-19,Milwaukee Bucks @ Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,1.01,2.08,1.49,1.67,2.1,1000,3.93,2.44,3
2018-10-17,2018-19,Brooklyn Nets @ Detroit Pistons,Brooklyn Nets,Detroit Pistons,2.56,8.8,3.24,3.35,1.05,2.2,1.47,1.4,-6
2018-10-17,2018-19,Memphis Grizzlies @ Indiana Pacers,Memphis Grizzlies,Indiana Pacers,3.25,21,4.06,3.85,1.01,1.45,1.17,1.35,-7.5
2018-10-17,2018-19,Miami Heat @ Orlando Magic,Miami Heat,Orlando Magic,1.4,11,1.93,1.79,1.04,3.4,2.04,2.26,4
2018-10-17,2018-19,Atlanta Hawks @ New York Knicks,Atlanta Hawks,New York Knicks,2.4,55,2.67,2.54,1.01,2.06,1.5,1.6,-4
2018-10-17,2018-19,Cleveland Cavaliers @ Toronto Raptors,Cleveland Cavaliers,Toronto Raptors,5.5,55,10.5,8.4,1.01,1.2,1.09,1.13,-13
2018-10-17,2018-19,New Orleans Pelicans @ Houston Rockets,New Orleans Pelicans,Houston Rockets,1.01,4.7,1.29,4.3,1.29,530,1.68,1.29,-8
2018-10-17,2018-19,Minnesota Timberwolves @ San Antonio Spurs,Minnesota Timberwolves,San Antonio Spurs,1.77,1000,2.69,2.26,1.01,2.58,1.58,1.74,-4
2018-10-17,2018-19,Utah Jazz @ Sacramento Kings,Utah Jazz,Sacramento Kings,1.01,1.99,1.18,1.26,2,15.5,4.2,4.9,8.5
2018-10-17,2018-19,Denver Nuggets @ Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers,1.01,3.8,1.7,1.81,1.16,10,2.07,2.22,2.5
2018-10-17,2018-19,Dallas Mavericks @ Phoenix Suns,Dallas Mavericks,Phoenix Suns,1.76,6.2,1.91,1.78,1.04,2.32,1.75,2.28,2.5
